datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 6:19:47 PM,0,1,666,[2;;],666,666,666,666,3
4/09/2024 6:19:49 PM,1,1,0.4322547,7,0,2,2,True,1
4/09/2024 6:19:52 PM,1,2,666,[2;5;],666,666,666,666,3
4/09/2024 6:19:54 PM,2,2,0.4763668,3,0,2,2,True,1
4/09/2024 6:19:58 PM,2,3,666,[7;5;9],666,666,666,666,3
4/09/2024 6:20:00 PM,3,3,0.5920233,8,1,5,5,True,1
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 6:20:40 PM,0,1,666,[1;;],666,666,666,666,3
4/09/2024 6:20:44 PM,1,1,2.500038,5,0,1,no response,False,1
4/09/2024 6:20:48 PM,1,2,666,[9;1;],666,666,666,666,3
4/09/2024 6:20:52 PM,2,2,2.900506,3,0,9,no response,False,1
4/09/2024 6:20:56 PM,2,3,666,[1;4;7],666,666,666,666,3
4/09/2024 6:20:59 PM,3,3,1.581537,2,1,4,2,False,1
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 6:29:08 PM,0,1,666,[1;;],666,666,666,666,3
4/09/2024 6:29:11 PM,1,1,1.930506,3,0,1,3,False,1
4/09/2024 6:29:15 PM,1,2,666,[9;8;],666,666,666,666,3
4/09/2024 6:29:16 PM,2,2,0.1466837,3,0,9,1,False,1
4/09/2024 6:29:21 PM,2,3,666,[4;2;9],666,666,666,666,3
4/09/2024 6:29:22 PM,3,3,0.6192902,8,0,4,1,False,1
4/09/2024 6:29:30 PM,0,1,666,[9;;],666,666,666,666,3
4/09/2024 6:29:34 PM,1,1,2.500111,5,0,9,no response,False,0
4/09/2024 6:29:38 PM,1,2,666,[4;2;],666,666,666,666,3
4/09/2024 6:29:42 PM,2,2,2.9003,1,0,4,no response,False,0
4/09/2024 6:29:46 PM,2,3,666,[7;5;3],666,666,666,666,3
4/09/2024 6:29:51 PM,3,3,3.501122,2,0,7,no response,False,0
